DEPTH,RHOB,GR,VP,Vs,NPHI
3367.75,2.3149,102.7716,3.008369904,5.174089728,26.740000000000002
3367.875,2.3912,87.3566,2.992188072,5.166311232,30.470000000000002
3368.0,2.4027,101.8881,2.97245532,5.149596,33.06
3368.125,2.3661,104.4398,2.952664656,5.123136312,32.39
3368.25,2.3719,107.6997,2.935394688,5.0908458,30.320000000000004
3368.375,2.4304,114.1551,2.92274244,5.059308144,28.68
3368.5,2.4295,101.7655,2.9160703679999997,5.036868768,28.24
3368.625,2.5001,100.5323,2.9168201760000003,5.035046064,29.99
3368.75,2.4415,108.4682,2.92246812,5.044903296,31.04
3368.875,2.4006,106.3743,2.931481056,5.0589942,28.1
3369.0,2.3934,101.8334,2.9423197439999997,5.073691656,25.740000000000002
3369.125,2.3954,107.2995,2.953454088,5.087709408,29.62
3369.375,2.4115,115.6836,2.970873408,5.116506911999999,31.630000000000003
3369.5,2.4059,107.0348,2.975728872,5.131000152,28.499999999999996
3369.625,2.3996,104.4012,2.978164224,5.14237224,27.450000000000003
3369.75,2.3735,109.961,2.978456832,5.149007736,28.189999999999998
3369.875,2.371,100.2196,2.976929784,5.150580504000001,31.169999999999998
3370.0,2.4325,105.4331,2.973482496,5.14833108,33.28
3370.375,2.3945,103.6478,2.953234632,5.128951895999999,30.5
3370.5,2.3865,105.8897,2.9446179359999998,5.11754628,26.090000000000003
3370.625,2.407,108.5646,2.936053056,5.104839168,32.33
3370.75,2.3595,103.1515,2.9280002400000003,5.094850871999999,34.92
3370.875,2.3882,106.5496,2.920907544,5.088541512,35.97
3371.0,2.4135,113.1645,2.915741184,5.084984496,33.47
3371.125,2.4059,113.7597,2.913482616,5.0831587439999995,29.95
3371.25,2.3935,102.1342,2.914890792,5.082320544,30.349999999999998
3371.375,2.4001,113.7297,2.919935232,5.083420872,24.709999999999997
3371.5,2.4066,107.2903,2.925223512,5.088145272,27.279999999999998
3371.625,2.3708,104.7239,2.9283781920000003,5.095914624,29.49
3371.75,2.3449,104.8946,2.9284117199999997,5.105707848,29.330000000000002
3371.875,2.3558,102.2566,2.9252692319999998,5.116202112,27.750000000000004
3372.0,2.3246,94.7702,2.91987732,5.125964856,28.249999999999996
3372.125,2.3385,108.5827,2.914156224,5.133462936,25.35
3372.25,2.347,110.1019,2.909684808,5.139049920000001,25.52
3372.375,2.3771,107.201,2.907087912,5.143073279999999,25.569999999999997
3372.5,2.4007,103.117,2.906703864,5.146355976000001,25.480000000000004
3372.625,2.3704,99.1932,2.908575336,5.14996176,27.139999999999997
3372.75,2.3548,111.4353,2.912601744,5.154963528000001,29.959999999999997
3372.875,2.3392,110.9309,2.917091448,5.160785208,28.060000000000002
3373.0,2.3575,107.8117,2.9210782319999997,5.166277704,25.09
3373.125,2.3445,108.4018,2.924275584,5.171218512,24.41
3373.25,2.2986,110.4477,2.926531104,5.175955104,26.279999999999998
3373.375,2.345,99.739,2.92769544,5.18135616,26.179999999999996
3373.5,2.3483,108.6292,2.926939536,5.187683808,26.57
3373.625,2.3186,102.4397,2.9240988,5.1913536,25.490000000000002
3373.75,2.3174,103.9931,2.918813568,5.188339128,24.23
3373.875,2.3215,108.452,2.91088572,5.175708216,24.34
3374.0,2.2928,103.0703,2.900391456,5.1520344,26.029999999999998
3374.125,2.3298,106.7404,2.887861128,5.117573712,23.24
3374.25,2.3098,113.8689,2.874876648,5.076974352,26.32
3374.375,2.3355,111.5812,2.862556632,5.03729244,27.939999999999998
3374.5,2.3424,100.511,2.852162952,5.005239672,27.61
3374.625,2.3459,92.996,2.8452135120000004,4.987052256,26.61
3374.75,2.4726,109.7355,2.84344872,4.987786824,27.01
3374.875,2.5177,103.1492,2.849499,5.011472832,26.06
3375.0,2.4966,104.7804,2.860740024,5.0444034239999995,25.230000000000004
3375.125,2.4634,107.0375,2.874099408,5.075172984,26.919999999999998
3375.25,2.4245,106.1374,2.886382848,5.095222728,28.860000000000003
3375.375,2.3746,101.2068,2.8942284,5.098127472000001,28.07
3375.5,2.3344,95.3015,2.89345116,5.078373384000001,25.45
3375.625,2.3028,96.5217,2.878390992,5.02929144,21.9
3375.75,2.3376,104.3617,2.850480456,4.959687312000001,24.93
3375.875,2.3467,104.4249,2.8124536079999998,4.878997608000001,27.73
3376.0,2.3303,96.4575,2.768928168,4.797969576,27.87
3376.125,2.3822,93.8196,2.725926984,4.727182824,28.37
3376.25,2.4486,88.437,2.692889712,4.676141016,27.73
3376.375,2.5627,97.3965,2.674790688,4.64923632,27.560000000000002
3376.5,2.6024,102.2182,2.67297408,4.654853784,27.62
